iri,broader,prefLabel
https://vocab.geospecimens.org/def/constituent-part-proportions/absent,,Absent
https://vocab.geospecimens.org/def/constituent-part-proportion/all,,All
https://vocab.geospecimens.org/def/constituent-part-proportions/major,,Major
https://vocab.geospecimens.org/def/constituent-part-proportions/minor,,Minor
https://vocab.geospecimens.org/def/constituent-part-proportions/present,,Present
https://vocab.geospecimens.org/def/constituent-part-proportions/rare,,Rare
https://vocab.geospecimens.org/def/constituent-part-proportions/trace,,Trace
https://vocab.geospecimens.org/def/constituent-part-proportions/variable,,Variable
