iri,broader,prefLabel
https://vocab.geospecimens.org/def/hazard-type/asbestos-bearing,,Asbestos-bearing
https://vocab.geospecimens.org/def/hazard-type/carcinogen,,Carcinogen
https://vocab.geospecimens.org/def/hazard-type/corrosive,,Corrosive
https://vocab.geospecimens.org/def/hazard-type/explosive,,Explosive
https://vocab.geospecimens.org/def/hazard-type/flammable,,Flammable
https://vocab.geospecimens.org/def/hazard-type/radioactive,,Radioactive
https://vocab.geospecimens.org/def/hazard-type/toxic,,Toxic
